Country,Region,HappinessScore2015,HappinessScore2016,HappinessScore2017,DifferenceYoY_2015-2016,DifferenceYoY_2016-2017,DifferenceYoY_2015-2017,EconomyAvg_2015,EconomyAvg_2016,EconomyAvg_2017,FamilyAvg_2015,FamilyAvg_2016,FamilyAvg_2017,HealthLifeExpAvg_2015,HealthLifeExpAvg_2016,HealthLifeExpAvg_2017,FreedomAvg_2015,FreedomAvg_2016,FreedomAvg_2017,TrustGovtAvg_2015,TrustGovtAvg_2016,TrustGovtAvg_2017,GenerosityAvg_2015,GenerosityAvg_2016,GenerosityAvg_2017
Ukraine,Central and Eastern Europe,4.681,4.324,4.096000195,0.357,0.227999805,0.584999805,0.79907,0.87287,0.894651949,1.20278,1.01413,1.394537568,0.6739,0.58628,0.575903952,0.25123,0.12859,0.122974776,0.02961,0.01829,0.270061463,0.15275,0.20363,0.023029471
China,Eastern Asia,5.14,5.245,5.272999763,-0.105,-0.027999763,-0.132999763,0.89012,1.0278,1.081165791,0.94675,0.79381,1.160837412,0.81658,0.73561,0.741415501,0.51697,0.44012,0.472787708,0.02781,0.02745,0.028806841,0.08185,0.04959,0.022794275
Hong Kong,Eastern Asia,5.474,5.458,5.472000122,0.016,-0.014000122,0.001999878,1.38604,1.5107,#N/A,1.05818,0.87021,#N/A,1.01328,0.95277,#N/A,0.59608,0.48079,#N/A,0.37124,0.31647,#N/A,0.39478,0.40097,#N/A
Japan,Eastern Asia,5.987,5.921,5.920000076,0.066,0.000999924,0.066999924,1.27074,1.38007,1.416915178,1.25712,1.06054,1.436337829,0.99111,0.91491,0.913475871,0.49615,0.46761,0.505625546,0.1806,0.18985,0.120572768,0.10705,0.10224,0.163760737
Mongolia,Eastern Asia,4.874,4.907,4.954999924,-0.033,-0.047999924,-0.080999924,0.82819,0.98853,1.027235866,1.3006,1.08983,1.493011236,0.60268,0.55469,0.557783484,0.43626,0.35972,0.394143969,0.02666,0.03285,0.33846423,0.3323,0.34539,0.032902289
South Korea,Eastern Asia,5.984,5.835,5.837999821,0.149,-0.002999821,0.146000179,1.24461,1.35948,1.401678443,0.95774,0.72194,1.128274441,0.96538,0.88645,0.900214076,0.33208,0.25168,0.257921666,0.07857,0.07716,0.206674367,0.18557,0.18824,0.063282669
Taiwan,Eastern Asia,6.298,6.379,6.421999931,-0.081,-0.042999931,-0.123999931,1.29098,1.39729,#N/A,1.07617,0.92624,#N/A,0.8753,0.79565,#N/A,0.3974,0.32377,#N/A,0.08129,0.0663,#N/A,0.25376,0.25495,#N/A
Suriname,Latin America and Caribbean,6.269,6.269,4.138999939,0,2.130000061,2.130000061,0.99534,1.09686,#N/A,0.972,0.77866,#N/A,0.6082,0.50933,#N/A,0.59657,0.52234,#N/A,0.13633,0.12692,#N/A,0.16991,0.16665,#N/A
Venezuela,Latin America and Caribbean,6.81,6.084,5.25,0.726,0.834,1.56,1.04424,1.13367,1.128431201,1.25596,1.03302,1.431337595,0.72052,0.61904,0.617144227,0.42908,0.19847,0.153997123,0.11069,0.08304,0.06501963,0.05841,0.0425,0.064491123
Haiti,Latin America and Caribbean,4.518,4.028,3.602999926,0.49,0.425000074,0.915000074,0.26673,0.34097,0.368610263,0.74302,0.29561,0.640449822,0.38847,0.27494,0.27732113,0.24425,0.12072,0.030369857,0.17175,0.14476,0.489203781,0.46187,0.47958,0.09987215
Mexico,Latin America and Caribbean,7.187,6.778,6.578000069,0.409,0.199999931,0.608999931,1.02054,1.11508,1.153183818,0.91451,0.7146,1.21086216,0.81444,0.71143,0.709978998,0.48181,0.37709,0.412730008,0.21312,0.18355,0.120990433,0.14074,0.11735,0.132774115
Jamaica,Latin America and Caribbean,5.709,5.51,5.31099987,0.199,0.19900013,0.39800013,0.81038,0.89333,0.925579309,1.15102,0.96372,1.368218064,0.68741,0.59469,0.641022384,0.50442,0.43597,0.474307239,0.02299,0.04294,0.233818337,0.2123,0.22245,0.055267781
Paraguay,Latin America and Caribbean,5.878,5.538,5.493000031,0.34,0.044999969,0.384999969,0.75985,0.89373,0.932537317,1.30477,1.11111,1.50728488,0.66098,0.58295,0.579250693,0.53899,0.46235,0.473507792,0.08242,0.07396,0.224150658,0.3424,0.25296,0.091065913
